Date,JKT,TKY
9/20/2020,48,2472
9/21/2020,46,2575
9/22/2020,48,2470
9/23/2020,34,2546
10/26/2020,7,2470
10/27/2020,27,2300
10/28/2020,26,2600
10/29/2020,32,2482
10/30/2020,24,2353
10/31/2020,40,2438
11/1/2020,48,2592
11/2/2020,48,2561
11/3/2020,47,2627
11/4/2020,48,2630
11/5/2020,48,2476
11/6/2020,48,2675
11/7/2020,48,2537
11/8/2020,48,2571
11/9/2020,48,2593
11/10/2020,48,2593
11/11/2020,55,2544
11/12/2020,48,2601
11/13/2020,48,2443
11/14/2020,48,2457
11/15/2020,48,2638
11/16/2020,47,2266
11/17/2020,48,2367
11/18/2020,48,2638
11/19/2020,48,2574
11/20/2020,53,2501
11/21/2020,56,2277
11/22/2020,71,2518
11/23/2020,69,2611
11/24/2020,62,2593
11/25/2020,48,2634
11/26/2020,53,2366
11/27/2020,62,2585
11/28/2020,65,2529
11/29/2020,62,2592
11/30/2020,58,2519
12/1/2020,64,2539
12/2/2020,60,2584
12/3/2020,65,2591
12/4/2020,70,2656
12/5/2020,71,2569
12/6/2020,64,2254
12/7/2020,52,2451
12/8/2020,69,2632
12/9/2020,69,2642
12/10/2020,71,2476
12/11/2020,68,2553
12/12/2020,70,2620
12/13/2020,65,2593
12/14/2020,64,2577
12/15/2020,66,2561
12/16/2020,59,2637
12/17/2020,62,2560
12/18/2020,59,2570
12/19/2020,54,2581
12/20/2020,65,2572
12/21/2020,59,2436
12/22/2020,48,2470
12/23/2020,48,2518
12/24/2020,48,2533
12/25/2020,48,2425
12/26/2020,48,2584
12/27/2020,48,2332
12/28/2020,48,2569
12/29/2020,48,2596
12/30/2020,58,2280
12/31/2020,65,2640
1/1/2021,67,2301
1/2/2021,68,2546
1/3/2021,64,2428
